cuisine,diet,name,cooking time,ingredients,allergens,recipe
Vietnamese,Vegetarian,Savory Corn Curry ,1 hr 15 min,"Corn, Soy sauce, Cumin, Black pepper, Butter, Nuts","Milk, Soy, Nuts","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Turkish,Vegan,Honey Quinoa Burger ,1 hr 56 min,"Quinoa, Black pepper, Herbs, Tomato",,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Indian,Non-Vegetarian,Lemony Shrimp Curry ,53 min,"Shrimp, Yogurt, Olive oil, Black pepper, Sugar, Honey, Cheese, Garlic","Milk, Seafood, Honey","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Caribbean,Vegan,Quick Eggplant Frittata ,44 min,"Eggplant, Coriander, Lemon",Eggs,"Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Brazilian,Vegan,Honey Tofu Burger ,43 min,"Tofu, Garlic, Paprika, Cumin",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
French,Non-Vegetarian,Warm Beef Soup ,52 min,"Beef, Salt, Vinegar, Sugar, Honey",Honey,"Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a soup."
American,Vegan,Garlic Bell pepper Salad ,53 min,"Bell pepper, Cumin, Garlic, Salt, Lemon, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Spanish,Vegetarian,Quick Lentils Burger ,33 min,"Lentils, Onion, Nuts, Tomato, Vinegar, Milk, Olive oil","Milk, Nuts","Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Brazilian,Vegan,Peanut Broccoli Pilaf ,55 min,"Broccoli, Lemon, Coriander, Vinegar",,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
American,Vegetarian,Crispy Bell pepper Pilaf ,1 hr 7 min,"Bell pepper, Milk, Cumin, Vinegar, Butter, Sugar, Salt",Milk,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Korean,Vegetarian,Coconut Mushroom Kebab ,1 hr 34 min,"Mushroom, Black pepper, Milk, Salt, Coriander",Milk,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
American,Vegetarian,Creamy Zucchini Soup ,2 hr,"Zucchini, Ginger, Chili, Paprika",,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Vietnamese,Vegan,Creamy Tofu Burger ,1 hr 41 min,"Tofu, Salt, Ginger",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Spanish,Vegan,Tangy Tofu Sandwich ,1 hr 11 min,"Tofu, Garlic, Cumin",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Japanese,Non-Vegetarian,Zesty Chicken Wrap ,8 min,"Chicken, Flour, Chili, Olive oil, Yogurt, Butter, Sugar, Lemon","Milk, Gluten","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a wrap."
Moroccan,Vegan,Smoky Quinoa Kebab ,19 min,"Quinoa, Tomato, Flour, Lemon, Olive oil",Gluten,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Lebanese,Vegan,Lemony Potato Kebab ,1 hr 50 min,"Potato, Ginger, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Indian,Vegan,Creamy Broccoli Stir-fry ,22 min,"Broccoli, Chili, Flour, Onion, Black pepper",Gluten,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Caribbean,Non-Vegetarian,Simple Chicken Stir-fry ,28 min,"Chicken, Chili, Ginger, Tomato, Butter, Milk",Milk,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stir-fry."
Spanish,Vegan,Herbed Lentils Salad ,15 min,"Lentils, Tomato, Onion, Coriander",,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Indian,Vegan,Minty Chickpeas Risotto ,1 hr 6 min,"Chickpeas, Herbs, Black pepper, Ginger, Salt, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Italian,Vegetarian,Tangy Lentils Salad ,2 hr,"Lentils, Herbs, Lemon, Tomato, Cheese, Ginger",Milk,"Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Thai,Non-Vegetarian,Lemony Salmon Stew ,28 min,"Salmon, Vinegar, Garlic, Onion, Flour, Butter, Black pepper, Tomato","Milk, Gluten, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Lebanese,Vegetarian,Simple Bell pepper Stew ,40 min,"Bell pepper, Soy sauce, Tomato, Black pepper, Flour, Vinegar, Herbs","Soy, Gluten","Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Spanish,Non-Vegetarian,Tangy Shrimp Frittata ,1 hr 14 min,"Shrimp, Yogurt, Herbs, Sugar","Milk, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Peruvian,Non-Vegetarian,Creamy Beef Stew ,1 hr 26 min,"Beef, Cumin, Paprika, Yogurt",Milk,"Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Brazilian,Vegetarian,Garlic Zucchini Salad ,1 hr 29 min,"Zucchini, Butter, Flour, Paprika, Yogurt, Coriander","Milk, Gluten","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Korean,Vegan,Creamy Kidney beans Soup ,1 hr 48 min,"Kidney beans, Black pepper, Salt",,"Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Indian,Vegan,Hearty Kidney beans Skewers ,1 hr 59 min,"Kidney beans, Chili, Coriander, Nuts, Flour, Soy sauce, Black pepper, Olive oil","Soy, Nuts, Gluten","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Korean,Non-Vegetarian,Savory Shrimp Kebab ,2 hr,"Shrimp, Flour, Herbs, Tomato, Yogurt","Milk, Gluten, Seafood","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
American,Non-Vegetarian,Garlic Fish Rice Bowl ,1 hr 28 min,"Fish, Butter, Cumin, Tomato, Salt","Milk, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a rice bowl."
Moroccan,Vegetarian,Simple Black beans Pasta ,37 min,"Black beans, Onion, Nuts, Butter, Coriander, Sugar, Cheese","Milk, Nuts","Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Lebanese,Vegan,Peanut Cauliflower Wrap ,1 hr 34 min,"Cauliflower, Lemon, Vinegar, Black pepper, Salt, Sugar, Flour",Gluten,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Lebanese,Non-Vegetarian,Peanut Fish Salad ,1 hr 16 min,"Fish, Herbs, Vinegar, Soy sauce, Butter, Nuts, Garlic, Lemon","Milk, Soy, Nuts, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a salad."
Caribbean,Vegan,Coconut Potato Tacos ,1 hr 15 min,"Potato, Olive oil, Salt",,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Spanish,Non-Vegetarian,Peanut Mutton Burger ,1 hr 49 min,"Mutton, Yogurt, Ginger, Cheese, Onion",Milk,"Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a burger."
Lebanese,Vegan,Light Pumpkin Curry ,10 min,"Pumpkin, Ginger, Cumin, Chili, Soy sauce",Soy,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Italian,Vegan,Simple Tofu Soup ,57 min,"Tofu, Salt, Sugar",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a soup."
Korean,Non-Vegetarian,Peanut Pork Curry ,35 min,"Pork, Yogurt, Olive oil, Salt, Herbs",Milk,"Step 1: Marinate the Pork with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Pork until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Korean,Vegan,Coconut Pumpkin Stir-fry ,1 hr 42 min,"Pumpkin, Lemon, Flour, Ginger",Gluten,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Ethiopian,Non-Vegetarian,Zesty Mutton Curry ,25 min,"Mutton, Soy sauce, Honey, Yogurt, Paprika, Chili, Coriander","Milk, Soy, Honey","Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Chinese,Vegan,Peanut Black beans Skewers ,1 hr 36 min,"Black beans, Flour, Salt, Lemon",Gluten,"Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Peruvian,Vegan,Zesty Potato Casserole ,42 min,"Potato, Flour, Olive oil, Cumin, Black pepper",Gluten,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Thai,Vegetarian,Zesty Tofu Burger ,14 min,"Tofu, Herbs, Tomato, Garlic, Nuts, Paprika, Lemon, Olive oil","Soy, Nuts","Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Greek,Vegetarian,Hearty Bell pepper Stir-fry ,29 min,"Bell pepper, Cheese, Butter, Black pepper, Nuts, Vinegar, Cumin","Milk, Nuts","Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Spanish,Vegan,Herbed Chickpeas Salad ,1 hr 8 min,"Chickpeas, Paprika, Flour, Salt",Gluten,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Moroccan,Vegetarian,Spicy Corn Kebab ,1 hr 57 min,"Corn, Olive oil, Soy sauce, Milk, Chili, Yogurt, Cumin, Honey","Milk, Soy, Honey","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Chinese,Non-Vegetarian,Simple Turkey Stew ,1 hr 50 min,"Turkey, Lemon, Salt, Milk, Soy sauce, Yogurt, Ginger","Milk, Soy","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Italian,Vegan,Smoky Tofu Fritters ,43 min,"Tofu, Herbs, Salt",Soy,"Step 1: Chop the vegetables and prepare the Tofu. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Tofu and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Indian,Non-Vegetarian,Creamy Shrimp Stew ,1 hr 52 min,"Shrimp, Flour, Herbs, Honey, Cumin, Yogurt","Milk, Gluten, Seafood, Honey","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a stew."
Turkish,Vegetarian,Tangy Zucchini Fritters ,1 hr 32 min,"Zucchini, Paprika, Butter, Yogurt, Flour, Salt, Chili","Milk, Gluten","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Mexican,Vegetarian,Smoky Cauliflower Pasta ,1 hr 9 min,"Cauliflower, Sugar, Chili, Milk, Black pepper",Milk,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Mexican,Vegetarian,Light Kidney beans Tacos ,10 min,"Kidney beans, Cheese, Garlic, Flour, Nuts, Lemon, Paprika","Milk, Nuts, Gluten","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Lebanese,Vegetarian,Coconut Cauliflower Stew ,29 min,"Cauliflower, Butter, Chili, Nuts, Cheese, Milk, Yogurt","Milk, Nuts","Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Mexican,Vegetarian,Herbed Rice Pasta ,42 min,"Rice, Cheese, Lemon, Salt, Ginger, Chili, Garlic, Milk",Milk,"Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Lebanese,Non-Vegetarian,Quick Chicken Pilaf ,1 hr 23 min,"Chicken, Vinegar, Lemon, Tomato, Black pepper, Butter, Garlic",Milk,"Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pilaf."
Lebanese,Vegan,Peanut Spinach Rice Bowl ,15 min,"Spinach, Paprika, Ginger, Onion",,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Lebanese,Vegan,Easy Sweet potato Pizza ,1 hr 16 min,"Sweet potato, Sugar, Lemon, Paprika, Onion, Olive oil",,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Thai,Non-Vegetarian,Tangy Beef Frittata ,59 min,"Beef, Soy sauce, Olive oil, Chili, Butter","Milk, Soy","Step 1: Marinate the Beef with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Beef until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Greek,Vegan,Savory Quinoa Casserole ,1 hr 55 min,"Quinoa, Salt, Olive oil, Coriander, Paprika, Herbs, Tomato",,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Turkish,Vegetarian,Hearty Corn Stew ,52 min,"Corn, Soy sauce, Paprika, Honey, Flour, Butter","Milk, Soy, Gluten, Honey","Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stew."
Lebanese,Non-Vegetarian,Easy Chicken Frittata ,1 hr 49 min,"Chicken, Salt, Milk, Coriander, Olive oil, Soy sauce, Vinegar","Milk, Soy","Step 1: Marinate the Chicken with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Chicken until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Turkish,Vegan,Zesty Corn Frittata ,1 hr 42 min,"Corn, Vinegar, Cumin, Ginger, Tomato",,"Step 1: Chop the vegetables and prepare the Corn. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Corn and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Spanish,Vegan,Quick Chickpeas Sandwich ,1 hr 32 min,"Chickpeas, Vinegar, Coriander, Tomato, Lemon",,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
French,Vegetarian,Lemony Zucchini Pasta ,1 hr 38 min,"Zucchini, Cumin, Nuts, Flour, Coriander, Sugar","Nuts, Gluten","Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Indian,Vegetarian,Crispy Sweet potato Kebab ,50 min,"Sweet potato, Cumin, Coriander, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Lebanese,Vegetarian,Crispy Rice Pilaf ,1 hr 7 min,"Rice, Lemon, Vinegar, Flour, Cheese, Sugar, Herbs","Milk, Gluten","Step 1: Chop the vegetables and prepare the Rice. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Rice and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Peruvian,Vegetarian,Coconut Eggplant Wrap ,1 hr 6 min,"Eggplant, Ginger, Onion, Nuts, Olive oil, Black pepper, Tomato","Nuts, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Vietnamese,Vegetarian,Minty Spinach Frittata ,1 hr 53 min,"Spinach, Milk, Black pepper, Cumin, Herbs, Vinegar",Milk,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Italian,Non-Vegetarian,Crispy Lamb Soup ,1 hr 39 min,"Lamb, Salt, Honey, Vinegar, Butter","Milk, Honey","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a soup."
Korean,Vegan,Lemony Chickpeas Skewers ,26 min,"Chickpeas, Ginger, Sugar, Nuts",Nuts,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Vietnamese,Vegan,Simple Bell pepper Risotto ,1 hr 20 min,"Bell pepper, Paprika, Chili, Tomato",,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Brazilian,Vegetarian,Coconut Chickpeas Rice Bowl ,1 hr 21 min,"Chickpeas, Honey, Black pepper, Coriander, Yogurt, Garlic, Paprika","Milk, Honey","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Vietnamese,Vegetarian,Minty Pumpkin Wrap ,17 min,"Pumpkin, Black pepper, Soy sauce, Onion, Lemon, Honey","Soy, Honey","Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Moroccan,Non-Vegetarian,Easy Fish Skewers ,1 hr 34 min,"Fish, Lemon, Tomato, Yogurt, Herbs, Cheese, Paprika, Vinegar","Milk, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a skewers."
Thai,Vegetarian,Coconut Pumpkin Tacos ,1 hr 46 min,"Pumpkin, Olive oil, Black pepper, Tomato, Chili, Vinegar, Butter",Milk,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
